ID,Country,Genotype,D.count,A.count,From(yearsAD),To(yearsAD),Mean(yearsAD),Grouped.year
RA6,Greece ,AA,0,2,-200,-40,-120,1
RA11,Greece ,AA,0,2,-200,-40,-120,1
RA14,Greece ,AA,0,2,-200,-40,-120,1
RA18,Greece ,AA,0,2,-200,-40,-120,1
RA22,Greece ,AA,0,2,-200,-40,-120,1
Ch31,Germany,AA,0,2,-200,-30,-115,1
Ch36,Austria ,AA,0,2,-100,50,-25,2
RB374,England ,DA,1,1,69,96,82.5,3
RB375,England ,AA,0,2,69,96,82.5,3
RB376,England ,AA,0,2,69,96,82.5,3
Ch3,Germany,DA,1,1,100,300,200,4
Ch4,Germany,AA,0,2,100,300,200,4
Ch10,Germany,AA,0,2,100,300,200,4
Ch12,Germany,DA,1,1,100,300,200,4
Ch13,Germany,AA,0,2,100,300,200,4
Ch15,Germany,AA,0,2,100,300,200,4
Ch16,Germany,AA,0,2,100,300,200,4
Ch19,Germany,DA,1,1,100,300,200,4
Ch20,Germany,AA,0,2,100,300,200,4
Ch21,Germany,AA,0,2,100,300,200,4
Ch27,Germany,AA,0,2,0,500,250,5
RB368,England ,DA,1,1,120,400,260,5
RB369,England ,AA,0,2,120,400,260,5
RB370,England ,AA,0,2,120,400,260,5
RA26,Turkey,AA,0,2,1275,1337,1306,6
RA27,Turkey,DD,2,0,1275,1337,1306,6
RB598,Turkey/East Anatolia,DA,1,1,1278,1340,1309,6
RB380,England ,AA,0,2,1300,1500,1400,7
Ch38,Germany,DD,2,0,1820,1880,1850,8
RB579,Morocco,DA,1,1,1950,2000,1975,9
Modern,,,7.300466,11.05452,1990,2000,1995,10
