ID,Country,Genotype,D.count,A.count,From(yearsAD),To(yearsAD),Mean(yearsAD)
Ch37,Germany,AD,1,1,-280,-15,-147.5
Ch40,Germany,AD,1,1,-280,-15,-147.5
RA6,Greece ,DD,2,0,-200,-40,-120
RA18,Greece ,DD,2,0,-200,-40,-120
RA22,Greece ,DD,2,0,-200,-40,-120
Ch31,Germany,AA,0,2,-200,-30,-115
Ch33,Austria ,AD,1,1,-100,50,-25
Ch34,Austria ,AD,1,1,-100,50,-25
Ch35,Austria ,DD,2,0,-100,50,-25
Ch36,Austria ,AD,1,1,-100,50,-25
RB373,England ,AA,0,2,69,96,82.5
RB374,England ,AD,1,1,69,96,82.5
RB375,England ,AD,1,1,69,96,82.5
RB376,England ,AD,1,1,69,96,82.5
Ch3,Germany,AA,0,2,100,300,200
Ch4,Germany,DD,2,0,100,300,200
Ch7,Germany,DD,2,0,100,300,200
Ch10,Germany,AA,0,2,100,300,200
Ch12,Germany,AD,1,1,100,300,200
Ch13,Germany,AD,1,1,100,300,200
Ch14,Germany,AA,0,2,100,300,200
Ch15,Germany,AD,1,1,100,300,200
Ch16,Germany,AD,1,1,100,300,200
Ch17,Germany,AD,1,1,100,300,200
Ch19,Germany,DD,2,0,100,300,200
Ch20,Germany,AD,1,1,100,300,200
Ch21,Germany,AA,0,2,100,300,200
Ch22,Germany,AD,1,1,100,300,200
Ch23,Germany,AA,0,2,100,300,200
Ch24,Germany,AD,1,1,100,300,200
Ch25,Germany,AD,1,1,0,500,250
Ch26,Germany,AA,0,2,0,500,250
Ch27,Germany,AD,1,1,0,500,250
RB368,England ,AA,0,2,120,400,260
RB369,England ,AA,0,2,120,400,260
RB370,England ,AA,0,2,120,400,260
RB372,England ,AD,1,1,120,400,260
RB383,England ,AA,0,2,900,1100,1000
RB378,England ,AA,0,2,1000,1200,1100
RB381,England ,AA,0,2,1000,1200,1100
RB384,England ,DD,2,0,1100,1400,1250
RB388,England ,AD,1,1,1100,1500,1300
RB599,Turkey/East Anatolia,DD,2,0,1272,1334,1303
RB600,Turkey/East Anatolia,DD,2,0,1275,1337,1306
RB601,Turkey/East Anatolia,DD,2,0,1275,1337,1306
RB602,Turkey/East Anatolia,DD,2,0,1275,1337,1306
RA26,Turkey,DD,2,0,1275,1337,1306
RA27,Turkey,DD,2,0,1275,1337,1306
RB598,Turkey/East Anatolia,DD,2,0,1278,1340,1309
RB380,England ,AD,1,1,1300,1500,1400
RB385,England ,AD,1,1,1500,1800,1650
Ch38,Germany,DD,2,0,1820,1880,1850
RB579,Morocco,DD,2,0,1950,2000,1975
RB585,Morocco,DD,2,0,1950,2000,1975
RB586,Morocco,DD,2,0,1950,2000,1975
RB587,Morocco,DD,2,0,1950,2000,1975
RB593,Turkey/South Anatolia,DD,2,0,1950,2000,1975
RB594,Turkey/South Anatolia,DD,2,0,1950,2000,1975
RB595,Turkey/South Anatolia,DD,2,0,1950,2000,1975
Modern,,,328,6,1990,2000,1995
